iter	Passed	Remaining
0	260	260413
1	492	245691
2	699	232504
3	918	228829
4	1183	235526
5	1447	239741
6	1695	240477
7	1916	237684
8	2136	235303
9	2350	232743
10	2584	232364
11	2816	231874
12	3045	231195
13	3262	229754
14	3542	232628
15	3813	234532
16	4050	234211
17	4310	235167
18	4542	234542
19	4761	233316
20	4998	233031
21	5233	232668
22	5463	232062
23	5691	231440
24	5897	229985
25	6101	228580
26	6335	228322
27	6573	228202
28	6807	227943
29	7026	227198
30	7282	227639
31	7515	227336
32	7756	227288
33	8005	227449
34	8262	227817
35	8481	227120
36	8683	225997
37	8898	225265
38	9097	224181
39	9312	223510
40	9550	223383
41	9797	223469
42	10035	223357
43	10282	223416
44	10523	223336
45	10736	222673
46	10950	222040
47	11165	221443
48	11357	220421
49	11581	220053
50	11802	219612
51	12046	219610
52	12291	219616
53	12515	219254
54	12742	218946
55	12959	218458
56	13201	218401
57	13436	218235
58	13657	217822
59	13890	217616
60	14138	217637
61	14383	217602
62	14656	217989
63	14885	217698
64	15123	217540
65	15352	217263
66	15578	216941
67	15838	217077
68	16064	216752
69	16339	217087
70	16598	217185
71	16894	217751
72	17158	217889
73	17404	217795
74	17661	217828
75	17953	218276
76	18231	218536
77	18473	218371
78	18710	218134
79	18917	217546
80	19153	217303
81	19386	217034
82	19588	216418
83	19827	216215
84	20098	216357
85	20403	216843
86	20661	216831
87	20929	216910
88	21189	216894
89	21469	217082
90	21728	217042
91	21972	216859
92	22262	217117
93	22523	217089
94	22813	217327
95	23086	217395
96	23333	217216
97	23543	216694
98	23821	216803
99	24083	216749
100	24329	216557
101	24584	216437
102	24859	216491
103	25116	216384
104	25377	216314
105	25644	216283
106	25885	216034
107	26144	215937
108	26393	215748
109	26646	215592
110	26869	215194
111	27095	214827
112	27311	214381
113	27552	214136
114	27816	214062
115	28086	214039
116	28320	213731
117	28607	213829
118	28859	213659
119	29117	213530
120	29387	213486
121	29642	213331
122	29925	213372
123	30220	213491
124	30422	212958
125	30679	212805
126	30899	212404
127	31154	212236
128	31408	212070
129	31688	212070
130	32000	212277
131	32234	211963
132	32438	211463
133	32655	211040
134	32884	210705
135	33154	210630
136	33396	210374
137	33679	210373
138	33963	210381
139	34244	210357
140	34481	210066
141	34693	209628
142	34936	209372
143	35125	208802
144	35323	208288
145	35544	207908
146	35767	207549
147	36027	207400
148	36281	207215
149	36525	206978
150	36791	206861
151	37052	206716
152	37326	206634
153	37594	206523
154	37837	206277
155	38085	206051
156	38351	205924
157	38626	205847
158	38891	205711
159	39158	205579
160	39415	205399
161	39656	205138
162	39930	205042
163	40182	204832
164	40425	204576
165	40713	204548
166	40984	204430
167	41229	204185
168	41490	204015
169	41740	203794
170	41998	203606
171	42232	203304
172	42489	203116
173	42746	202924
174	42992	202677
175	43253	202504
176	43542	202458
177	43773	202146
178	44019	201899
179	44299	201807
180	44576	201700
181	44835	201515
182	45088	201297
183	45344	201093
184	45596	200871
185	45856	200683
186	46118	200506
187	46402	200419
188	46660	200221
189	46926	200053
190	47203	199935
191	47489	199853
192	47749	199658
193	48020	199507
194	48291	199356
195	48544	199132
196	48792	198884
197	49052	198685
198	49315	198500
199	49615	198462
200	49888	198313
201	50150	198119
202	50401	197883
203	50662	197683
204	50947	197576
205	51224	197439
206	51448	197094
207	51687	196808
208	51931	196544
209	52157	196212
210	52417	196007
211	52697	195877
212	52919	195529
213	53189	195357
214	53445	195138
215	53699	194907
216	53955	194687
217	54243	194581
218	54539	194498
219	54823	194375
220	55079	194148
221	55355	193994
222	55610	193763
223	55886	193606
224	56160	193440
225	56411	193195
226	56711	193117
227	56952	192838
228	57209	192613
229	57481	192438
230	57749	192247
231	57990	191969
232	58304	191930
233	58553	191676
234	58827	191501
235	59102	191332
236	59322	190983
237	59572	190730
238	59794	190391
239	60065	190208
240	60316	189960
241	60555	189673
242	60780	189344
243	61027	189084
244	61285	188860
245	61546	188641
246	61800	188403
247	62066	188200
248	62366	188101
249	62616	187850
250	62841	187523
251	63050	187148
252	63337	187009
253	63606	186813
254	63862	186578
255	64095	186277
256	64385	186141
257	64641	185905
258	64908	185702
259	65179	185511
260	65445	185304
261	65727	185141
262	66007	184971
263	66295	184822
264	66595	184706
265	66915	184645
266	67155	184362
267	67446	184218
268	67720	184029
269	67974	183782
270	68290	183704
271	68564	183511
272	68866	183391
273	69160	183251
274	69457	183116
275	69736	182931
276	70033	182795
277	70314	182615
278	70593	182430
279	70911	182344
280	71179	182129
281	71441	181897
282	71724	181720
283	71996	181513
284	72250	181259
285	72483	180954
286	72764	180770
287	73063	180629
288	73396	180569
289	73663	180349
290	73917	180094
291	74207	179926
292	74469	179693
293	74732	179459
294	75015	179274
295	75283	179053
296	75555	178840
297	75839	178655
298	76134	178496
299	76428	178333
300	76723	178172
301	77001	177970
302	77301	177817
303	77584	177628
304	77856	177410
305	78125	177185
306	78399	176972
307	78706	176835
308	79001	176665
309	79298	176503
310	79549	176236
